,Ca,I
0,0.0,0.0
1,1.02,0.37771588009484725
2,2.0300000000000002,0.5878289730436508
3,3.04,0.6962676115821195
4,4.05,0.7623451663328181
5,5.0600000000000005,0.8067541811535419
6,6.07,0.8385976772289199
7,7.08,0.8625062026368343
8,8.09,0.881084063091124
9,9.100000000000001,0.8959083273194628
10,10.110000000000001,0.9079898407390499
11,11.120000000000001,0.9180064079256796
12,12.13,0.9264295185089011
13,13.14,0.9335972862325991
14,14.15,0.9397585024977948
15,15.16,0.9451003007504979
16,16.17,0.949766148104126
17,17.180000000000003,0.9538678747229667
18,18.190000000000005,0.9574939416709948
19,19.200000000000003,0.9607152404083132
20,20.210000000000004,0.9635892500291824
21,21.220000000000002,0.96616306491612
22,22.230000000000004,0.9684756394095231
23,23.240000000000006,0.9705594725717909
24,24.250000000000004,0.9724418895642664
25,25.26,0.974146040621804
26,26.270000000000003,0.9756916621573472
27,27.280000000000005,0.9770956826988715
28,28.290000000000003,0.9783727082012446
29,29.300000000000004,0.9795354041082102
30,30.310000000000002,0.9805948129930192
31,31.320000000000004,0.9815606019953782
32,32.330000000000005,0.9824412717068511
33,33.34,0.9832443228069885
34,34.35,0.983976406984314
35,35.36000000000001,0.9846434372825538
36,36.370000000000005,0.9852506904194996
37,37.38,0.9858028905540123
38,38.39,0.9863042798552624
39,39.400000000000006,0.9867586680754589
40,40.41000000000001,0.987169516170176
41,41.42000000000001,0.9875399259557918
42,42.43000000000001,0.9878727423870892
43,43.440000000000005,0.9881705349415603
44,44.45,0.9884356470589623
45,45.46,0.9886702256085081
46,46.470000000000006,0.9888762245610769
47,47.480000000000004,0.9890554466762951
48,48.49,0.9892095430203858
49,49.50000000000001,0.9893400315146796
50,50.510000000000005,0.9894483133406059
51,51.52000000000001,0.9895356819880803
52,52.53000000000001,0.989603332822935
53,53.540000000000006,0.9896523739406006
54,54.550000000000004,0.9896838314098292
55,55.56,0.9896986610757434
56,56.57,0.9896977481601046
57,57.580000000000005,0.9896819197872627
58,58.59,0.9896519459625924
59,59.60000000000001,0.9896085457188992
60,60.61000000000001,0.9895523908298592
61,61.62,0.9894841101694812
62,62.63,0.9894042909847421
63,63.63999999999999,0.989313489818998
64,64.65,0.9892122202458324
65,65.66000000000001,0.9891009708943359
66,66.67,0.9889801993609443
67,67.68,0.9888503367168876
68,68.69,0.9887117890091932
69,69.7,0.9885649386076943
70,70.71000000000001,0.9884101475068887
71,71.72,0.9882477573792283
72,72.73,0.9880780882855396
73,73.74,0.9879014463657405
74,74.75,0.9877181244955829
75,75.76,0.9875283828001273
76,76.77,0.9873325106287161
77,77.78,0.9871307224437322
78,78.78999999999999,0.9869232674020009
79,79.8,0.9867103619777357
80,80.81,0.9864922210542718
81,81.82,0.9862690449637849
82,82.83,0.9860410243926981
83,83.84,0.9858083309550103
84,84.85000000000001,0.9855711666140907
85,85.86,0.9853296701758558
86,86.87,0.9850840079736948
87,87.88000000000001,0.9848343307023487
88,88.89,0.9845807822689854
89,89.9,0.9843235002595431
90,90.91,0.9840626159250676
91,91.92,0.9837982601124817
92,92.93,0.9835305390739089
93,93.94,0.9832595820155798
94,94.95,0.9829854957800296
95,95.96,0.9827083787117422
96,96.97,0.9824283440335972
97,97.98,0.9821454818070336
98,98.99,0.981859887039263
99,100.0,0.981571649169339
